Country_of_Operator,Operator_Owner,Purpose,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians,military,geo_orbit
USA,Kentucky Space,Technology Development,,498.0,499.0,7E-05,94.58,2.5,,,1.0,Kentucky Space Consortium,USA,Wallops Island Flight Facility,Minotaur 1,,0.706858347,FALSE,FALSE
USA,National Reconnaissance Office (NRO),Surveillance,Intermediate,671.0,675.0,0.00028,98.2,14500.0,,,5.0,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,,0.994837674,TRUE,FALSE
USA,National Reconnaissance Office (NRO),Surveillance,Intermediate,574.0,676.0,0.0072900000000000000,97.21,14500.0,,,9.0,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,,1.186823891,TRUE,FALSE
USA,National Reconnaissance Office (NRO),Surveillance,Intermediate,713.0,716.0,0.00021,99.08,14500.0,,,9.0,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,,0.995012207,TRUE,FALSE
USA,NASA/US Geological Survey,Earth Science,Sun-Synchronous,702.0,703.0,7E-05,98.8,2744.0,2200.0,1500.0,15.0,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,,1.713913325,FALSE,FALSE
USA,NASA/US Geological Survey,Earth Science,Sun-Synchronous,700.0,705.0,0.00035,98.8,2780.0,1512.0,4300.0,5.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,,1.713913325,FALSE,FALSE
Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Earth Observation/Technology Development,Sun-Synchronous,617.0,637.0,0.00143,97.2,60.0,,14.0,,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,,1.705186679,FALSE,FALSE
Argentina,Aprize Satellites Argentina,Communications,Intermediate,610.0,668.0,0.00414,97.5,,12.0,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,,1.127482697,FALSE,FALSE
Argentina,Aprize Satellites Argentina,Communications,Intermediate,603.0,717.0,0.00811,97.9,,12.0,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,,1.127482697,FALSE,FALSE
USA/Australia,US DoD/Royal Australian Navy/Panamsat (owner),Communications,,35760.0,35812.0,0.00062,1436.1,3400.0,1388.0,1200.0,10.0,Hughes,USA,Kennedy Space Center,Space Shuttle (STS 32R),1.746725515,0.139102741,TRUE,TRUE
Russia,Ministry of Defense,Reconnaissance,Sun-Synchronous,900.0,911.0,0.0007600000000000000,103.1,5000.0,,,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,,1.172861257,TRUE,FALSE
Russia,Russian Federal Space Agency,Communications,,35778.0,35793.0,0.00018,1436.8,950.0,,,,ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,,0.084648469,FALSE,TRUE
Russia,Russian Federal Space Agency,Communications,,35772.0,35801.0,0.00034000000000000000,1436.09,1282.0,950.0,,,OAOISS,Russia,Baikonur Cosmodrome,Proton M,-0.27925268,0.003839724,FALSE,TRUE
Morocco/Germany,CTRS Morocco/Institut fr Luft-und Raumfahrttechnik (Berlin),Technology Development,Sun-Synchronous,984.0,1014.0,0.0020400000000000000,105.1,47.0,,56.0,0.5,CRTS Morocco/Institut fr Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,,1.731366618,FALSE,FALSE
Hungary,Budapest University of Technology and Economics,Technology Development,,305.0,1297.0,0.06917000000000000,100.9,1.0,,,,Budapest University of Technology and Economics,Hungary,Guiana Space Center,Vega,,1.21300383,FALSE,FALSE
USA,University of Michigan/Montana University,Technology Development,,457.0,816.0,0.02562,97.45,2.0,,,,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,,1.774999849,FALSE,FALSE
USA,University of Michigan Exploratory Lab,Technology Development,,443.0,886.0,0.03149,98.0,1.0,,,,University of Michigan,USA,Vandenberg AFB,Atlas 5,,2.09963109,FALSE,FALSE
Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Communications,,35782.0,35791.0,0.00011,1436.12,1450.0,650.0,1200.0,11.5,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2.583087293,0.019024089000000000,FALSE,TRUE
Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Communications,,35778.0,35794.0,0.00019000000000000000,1436.1,4900.0,3220.0,10800.0,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,1.5976743970000000,0.0,FALSE,TRUE
Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Communications,,35728.0,35788.0,0.0007100000000000000,1434.6,2417.0,,,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,1.596976266,0.000698132,FALSE,TRUE
India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Earth Science,,853.0,868.0,0.0010400000000000000,102.2,1000.0,,,5.0,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV,,0.34906585,FALSE,FALSE
USA,National Reconnaissance Office (NRO)/USAF,Surveillance,,35598.0,35976.0,0.00448,1436.13,8000.0,4000.0,,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,-0.487819526,0.08901179200000000,TRUE,TRUE
USA,National Reconnaissance Office (NRO)/USAF,Surveillance,,33674.0,37900.0,0.05012,1436.12,8000.0,4000.0,,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,-0.410326907,0.12793263400000000,TRUE,TRUE
Russia,Military Space Forces (VKS),Communications,Molniya,961.0,39388.0,0.72382,645.98,2500.0,,,,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,,1.09606677,TRUE,FALSE
Russia,Military Space Forces (VKS),Communications,Molniya,964.0,39396.0,0.72377,717.88,2500.0,,,,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,,1.09606677,TRUE,FALSE
Russia,Military Space Forces (VKS),Communications,Molniya,1006.0,39362.0,0.72223,718.04,,,,,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,,1.09484504,TRUE,FALSE
Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Meteorology,Polar,818.0,820.0,0.00014,101.3,2700.0,,,5.0,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2-1B,,1.720894642,FALSE,FALSE
Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Earth Science/Meteorology,,35784.0,35791.0,8E-05,1436.15,2000.0,,,7.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,,0.031415927,FALSE,TRUE
Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Earth Science/Meteorology,,35770.0,35797.0,0.00032,1435.96,696.0,320.0,200.0,5.0,Alcatel,France,Guiana Space Center,Ariane 5,-1.009672972,0.082205008,FALSE,TRUE
Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Earth Science/Meteorology,,35781.0,35793.0,0.00014,1436.1,2000.0,1000.0,700.0,12.0,Alcatel,France,Guiana Space Center,Ariane 5,0.16179202200000000,0.008028515,FALSE,TRUE
Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Earth Science/Meteorology,,35775.0,35795.0,0.00024000000000000000,1436.0,2000.0,1000.0,700.0,12.0,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,-0.000349066,0.005061455,FALSE,TRUE
Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Earth Science/Meteorology,Polar,820.0,821.0,7E-05,101.3,4193.0,3750.0,,5.0,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),,1.7226399720000000,FALSE,FALSE
Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Earth Science/Meteorology,Polar,819.0,822.0,0.00021,101.3,4085.0,,,5.0,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2-1A,,1.7226399720000000,FALSE,FALSE
Mexico,Secretaria de Comunicaciones y Transportes (SCT),Communications,,35784.0,35791.0,8E-05,1436.16,2900.0,,3500.0,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,-2.005383311,0.00122173,TRUE,TRUE
USA,US Air Force,Communications,,35754.0,35819.0,0.0007700000000000000,1436.13,4536.0,,8000.0,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,-0.6789330790000000,0.104545222,TRUE,TRUE
USA,US Air Force,Communications,,35765.0,35809.0,0.0005200000000000000,1436.13,4536.0,,8000.0,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,0.068765973,0.006108652000000000,TRUE,TRUE
USA,US Air Force,Communications,,35764.0,35768.0,5E-05,1435.04,4536.0,,8000.0,12.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,-1.185078562,0.078539816,TRUE,TRUE
USA,US Air Force,Communications,,35753.0,35820.0,0.00079,1436.12,4536.0,,8000.0,0.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,0.068416907,0.060213859,TRUE,TRUE
USA,US Air Force,Communications,,35768.0,35806.0,0.00045,1436.13,4536.0,,8000.0,12.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,-1.570447261,0.014311700000000000,TRUE,TRUE
Russia,Joint Stock Company-Information Satellite Systems,Earth Observation/Technology Development,,1481.0,1510.0,0.0018400000000000000,115.9,65.0,35.0,40.0,1.0,Joint Stock Company-Information Satellite Systems/Siberian State Aerospace University (SibSAU),Russia,Plesetsk Cosmodrome,Rokot,,1.439896633,FALSE,FALSE
Russia,Lavochkin Research and Production Association (Lavochkin NPO),Remote Sensing/Earth Science,Sun-Synchronous,805.0,821.0,0.0011100000000000000,101.2,110.0,,220.0,3.0,Lavochkin NPO,Russia,Baikonur Cosmodrome,Soyuz-Fregat,,1.72613063,FALSE,FALSE
Canada,Canadian Space Agency,Astrophysics,Sun-Synchronous,817.0,832.0,0.0010400000000000000,101.4,53.0,53.0,35.0,1.0,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,,1.7226399720000000,FALSE,FALSE
Russia,Mozhaisky Space Engineering Academy,Technology Development,Sun-Synchronous,669.0,690.0,0.00149,98.3,64.0,,,,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,,1.7069320080000000,FALSE,FALSE
USA/Canada,Mobile Satellite Ventures,Communications,,35763.0,35809.0,0.00055,1436.09,2850.0,1330.0,3300.0,12.0,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,-1.8575539230000000,0.023911011,FALSE,TRUE
USA/Canada,Mobile Satellite Ventures,Communications,,35776.0,35796.0,0.00024000000000000000,1436.09,2850.0,1330.0,3300.0,10.0,Hughes Communications Inc.,USA,Cape Canaveral,Atlas 2A,-1.766447736,0.070162236,FALSE,TRUE
USA,US Department of Energy/Office of Nonproliferation and National Security,Technology Development,Sun-Synchronous,500.0,525.0,0.00182,94.9,587.0,,575.0,3.0,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,,1.699950691,TRUE,FALSE
Japan,Japanese Ministry of Transport/Japan Meteorological Agency,Meteorology/Navigation,,35778.0,35796.0,0.00021,1436.1,2900.0,1250.0,2700.0,5.0,Space Systems/Loral,USA,Tanegashima Space Center,H-2A,2.444682683,0.00122173,FALSE,TRUE
Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Meteorology,,35776.0,35797.0,0.00025,1436.1,2900.0,1250.0,2700.0,5.0,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H-2A,2.531774613,0.000174533,FALSE,TRUE
USA,DoD/US Navy,Communications,,35800.0,35800.0,0.0,1436.1,6804.0,,,0.5,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,,,TRUE,TRUE
USA,DoD/US Navy,Communications,,35800.0,35900.0,0.00118,1436.1,6804.0,,,0.5,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,,,TRUE,TRUE
Spain,Instituto Nacional de Tcnia Aeroespacial (INTA),Communications,Polar,654.0,659.0,0.00036,97.9,20.0,15.0,20.0,,Instituto Nacional de Tcnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,,1.7174039840000000,FALSE,FALSE
Spain,Instituto Nacional de Tcnia Aeroespacial (INTA),Communications/Technology Development,Polar,583.0,672.0,0.00636,97.3,20.0,15.0,20.0,,Instituto Nacional de Tcnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,,1.712167996,FALSE,FALSE
United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Communications,,35775.0,35795.0,0.00024000000000000000,1436.04,1430.0,660.0,1200.0,7.0,Matra Marconi,France,Cape Canaveral,Delta 2,-0.611737903,0.12793263400000000,TRUE,TRUE
USA,DoD/US Air Force,Navigation/Global Positioning,,19781.0,20582.0,0.015080000000000000,717.94,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.973544657,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,19959.0,20403.0,0.00836,717.93,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20120.0,20244.0,0.00234,717.97,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.954695101,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20104.0,20260.0,0.00294,717.97,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,19986.0,20315.0,0.0062,716.69,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.958185759,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20080.0,20284.0,0.0038400000000000000,717.97,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.954695101,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20134.0,20227.0,0.00175,717.91,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,19912.0,20449.0,0.01011,717.91,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.958185759,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20109.0,20257.0,0.00279,718.01,1816.0,844.0,700.0,7.5,Rockwell International,USA,Cape Canaveral,Delta 2,,0.95644043,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20188.0,20224.0,0.0006800000000000000,718.94,1630.0,,,12.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20451.0,20464.0,0.00024000000000000000,729.18,1630.0,,,12.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,,0.960454687,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20174.0,20191.0,0.00032,718.0,1630.0,,1136.0,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,,0.9590584240000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20184.0,20247.0,0.00118,719.32,1630.0,,1136.0,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,,0.961501885,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,19963.0,20327.0,0.00686,716.47,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.9616764180000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20089.0,20276.0,0.00352,717.98,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20072.0,20292.0,0.00414,717.96,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.9663888070000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,19938.0,20426.0,0.00919,718.0,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.95644043,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20123.0,20247.0,0.00233,718.09,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.958185759,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20096.0,20268.0,0.00324,717.97,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.925024504,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20133.0,20234.0,0.0019,718.03,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.958185759,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20184.0,20427.0,0.00455,722.98,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20177.0,20498.0,0.00601,724.28,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20104.0,20266.0,0.00305,718.09,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20155.0,20344.0,0.00355,720.71,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.959931089,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20063.0,20433.0,0.00695,720.65,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.958185759,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20142.0,20221.0,0.00149,717.95,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.9613273520000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20020.0,20342.0,0.00606,717.93,2060.0,,,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,,0.9588838910000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20206.0,20366.0,0.003,722.19,2060.0,,,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,,0.9602801540000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20149.0,20213.0,0.00121,717.93,2217.0,980.0,1136.0,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,,0.95644043,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20150.0,20311.0,0.00303,719.92,2060.0,,,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,,0.959232957,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20135.0,20152.0,0.00032,716.4,2217.0,980.0,1136.0,10.0,Lockheed Martin,USA,Cape Canaveral,Delta 2,,0.9616764180000000,TRUE,FALSE
USA,DoD/US Air Force,Navigation/Global Positioning,,20160.0,20209.0,0.0009200000000000000,718.07,2059.0,980.0,1136.0,10.0,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,,0.9620254840000000,TRUE,FALSE
Canada,Canadian Space Agency,Space Observation,Sun-Synchronous,772.0,786.0,0.00098,100.4,74.0,,,,Microsat Systems Canada Inc.,Canada,Satish Dhawan Space Center,PSLV,,1.720894642,FALSE,FALSE
USA,Missile Defense Agency,Technology Development,,398.0,405.0,0.0005200000000000000,97.6,494.0,,,,General Dynamics,USA,Wallops Island Flight Facility,Minotaur 1,,0.8412486990000000,TRUE,FALSE
Nigeria,NigComSat,Communications,,35793.0,35795.0,2E-05,1436.1,5150.0,,,15.0,China Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3B,0.741764932,0.003490659,FALSE,TRUE
Nigeria,National Space Research and Development Agency (NASRDA),Earth Observation,Sun-Synchronous,691.0,705.0,0.00099,98.7,300.0,,,7.0,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Launch Facility,Dnepr 1,,1.713913325,FALSE,FALSE
Nigeria,National Space Research and Development Agency (NASRDA),Earth Observation/Technology Development,Sun-Synchronous,661.0,696.0,0.00248,98.3,100.0,,,,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Launch Facility,Dnepr 1,,1.713913325,FALSE,FALSE
Egypt,Egyptian Radio and TV Union,Communications,,35764.0,35808.0,0.0005200000000000000,1436.08,1825.0,810.0,3700.0,15.0,Matra Marconi,France,Guiana Space Center,Ariane 44LP,-0.12269664600000000,0.000523599,FALSE,TRUE
Egypt,Egyptian Radio and TV Union,Communications,,35795.0,35813.0,0.00021,1436.23,3200.0,1700.0,3700.0,15.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5,-0.122173048,0.000872665,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35779.0,35793.0,0.00017000000000000000,1436.08,3600.0,1700.0,8600.0,12.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,-1.592612942,0.000174533,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35779.0,35794.0,0.00018,1436.1,4850.0,,12000.0,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton,-1.430471855,0.000174533,FALSE,TRUE
Canada,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Communications,,35700.0,35700.0,0.0,1436.1,4745.0,,,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,-1.268854366,0.000174533,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35764.0,35809.0,0.00053,1436.09,4745.0,,,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,-1.589994949,0.000698132,FALSE,TRUE
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Earth Science/Meteorology,Sun-Synchronous,800.0,816.0,0.0011100000000000000,101.0,2223.0,1500.0,830.0,3.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,,1.7226399720000000,FALSE,FALSE
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Earth Science/Meteorology,Sun-Synchronous,842.0,857.0,0.0010400000000000000,101.9,2223.0,1500.0,830.0,3.0,Lockheed Martin Space Systems,USA,Vandenberg AFB,Titan 2,,1.729621289,FALSE,FALSE
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Meteorology,Sun-Synchronous,843.0,864.0,0.00145,102.0,2223.0,1500.0,830.0,3.0,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,,1.729621289,FALSE,FALSE
USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Meteorology,Sun-Synchronous,845.0,864.0,0.00131,102.0,1420.0,,,3.0,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,,1.72613063,FALSE,FALSE
USA,National Oceanographic and Atmospheric Administration (NOAA)/NASA,Meteorology,Polar,827.0,827.0,0.0,101.4,2128.0,,,,Ball Aerospace,USA,Vandenberg AFB,Delta 2,,1.7226399720000000,FALSE,FALSE
USA,Naval Post-Graduate School,Technology Development,Sun-Synchronous,499.0,502.0,0.00022,94.63,1.0,,,,Naval Post-Graduate School,USA,Wallops Island Flight Facility,Minotaur,,0.706858347,FALSE,FALSE
Netherlands,SES (Socit Europenne des Satellites (SES)),Communications,,35778.0,35795.0,0.0002,1436.1,5396.0,,,16.0,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton M/Breeze M,-0.652229541,0.000349066,FALSE,TRUE
Netherlands,SES (Socit Europenne des Satellites (SES)),Communications,,35776.0,35798.0,0.00026000000000000000,1436.15,3582.0,2000.0,,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,1.888620784,0.00122173,FALSE,TRUE
Netherlands,SES (Socit Europenne des Satellites (SES)),Communications,,35779.0,35793.0,0.00017000000000000000,1436.08,,5624.0,,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,0.994837674,0.001047198,FALSE,TRUE
Netherlands,SES World Skies/Intelsat [SES] (shared capacity),Communications,,35776.0,35796.0,0.00024000000000000000,1436.08,3412.0,2000.0,,14.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,-3.0892327760000000,0.0,FALSE,TRUE
Netherlands,SES (Socit Europenne des Satellites (SES)),Communications,,35776.0,35797.0,0.00025,1436.12,4575.0,2600.0,10000.0,,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 4,1.6587609210000000,0.000349066,FALSE,TRUE
Netherlands,SES (Socit Europenne des Satellites (SES)),Communications,,35775.0,35798.0,0.00027,1436.12,4500.0,2500.0,3900.0,14.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,-0.366519143,0.0013962630000000000,FALSE,TRUE
Netherlands,SES (Socit Europenne des Satellites (SES))/Intelsat (shared capacity),Communications,,35773.0,35798.0,0.0003,1436.08,3642.0,1450.0,3900.0,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 4,-0.820304748,0.000349066,FALSE,TRUE
Netherlands,SES/Intelsat (SES [Socit Europenne des Satellites (SES)]) (shared capacity),Communications,,35779.0,35794.0,0.00018,1436.11,3720.0,2200.0,4900.0,12.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,-0.705985682,0.000523599,FALSE,TRUE
Netherlands,SES (Socit Europenne des Satellites (SES)),Communications,,35784.0,35792.0,9E-05,1436.17,2238.0,1014.0,2300.0,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,3.1939525310000000,0.000349066,FALSE,TRUE
Japan,Sky Perfect JSAT Corporation,Communications,,35772.0,35799.0,0.00032,1436.08,1625.0,800.0,2600.0,15.0,Lockheed Martin Commercial Space Systems/Orbital Sciences,USA,Guiana Space Center,Ariane 5,2.357590754,0.001047198,FALSE,TRUE
USA,National Aeronautics and Space Administration (NASA),Space Science,,613.0,632.0,0.0013600000000000000,97.2,360.0,,,2.0,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,,0.104719755,FALSE,FALSE
USA,NASA-Ames Research Center/Stanford University,Scientific Research,Sun-Synchronous,624.0,654.0,0.00214,97.48,5.5,,,0.5,NASA/Ames Research Center,USA,Kodiak Launch Complex,Minotaur 4,,1.256113463,FALSE,FALSE
United Kingdom,O3b Networks Ltd.,Communications,,8063.0,8069.0,0.00021,287.93,700.0,,1500.0,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,,0.000523599,FALSE,FALSE
United Kingdom,O3b Networks Ltd.,Communications,,8062.0,8069.0,0.00024000000000000000,287.93,700.0,,1500.0,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,,0.000698132,FALSE,FALSE
